FILE	IDNO	TEXT
2-12-delius	doc_0_0_0	DELIUS
2-12-delius	doc_0_1_0	The purpose of the present essay is not biographical. In his volume on Delius, Mr Heseltine provides an adequate treatment of the composer’s life without the sense of limitation which is inevitable in a shorter sketch. ‘The necessary facts are there available to the student, and some account is also to be found in the standard dictionaries of our time. But if the details relating to the biography of a contemporary composer are definite beyond discussion, the same cannot be said in respect to the critical attitude which one should adopt towards his work. There is no one who is better acquainted with Delius’s utterances and aesthetic intentions than Mr Heseltine, and in regard to the unique position which he occupies I have for his opinions on this subject the greatest respect. On the other hand, the law of averages alone guarantees that some should find a difficulty in identifying themselves exactly with the artistic estimates of another. It is not that Mr Heseltine’s views are here held in question; any such direct contradiction would serve only to reflect the foolishness of the attempt. But it is possible that a perspective other than his may allow an alternate reaction on purely aesthetic lines. From a critical standpoint a proprietary attitude need not confuse the observer. In result, the indication is that although the accuracy of Mr Heseltine’s deductions cannot be questioned without misfortune to the inquirer, it must be realised that, critically and aesthetically, Delius’s works are open to more
2-12-delius	doc_0_1_1	than one opinion; moreover, lack of perception can be the only excuse for estimating as wrong-headed the judgment of another critic simply on the score that it does not happen to be coincident with one’s own.
2-12-delius	doc_0_2_0	The position of Delius, viewed historically, has a particular interest for those whose concern is with an examination of contemporary developments. At a time when romance is, musically, out of fashion, it is a little curious that the close of the romantic movement should be marked by a composer whose magnitude is comparable to few of his predecessors. The history of romance in music begins, to all intents and purposes, with the advent of Weber. He is the first composer whom we can regard with accuracy as an exponent of those principles of musical conduct and expression epitomised by Delius. In one respect there has been a fundamental change of attitude. The music of Weber as seen, for instance, in Der Freischiitz, reflects essentially the spirit of revolution and national endeavour which characterised the internal condition of Germany at the time at which the opera was written. There is in it a vitality of expression which cannot be denied. With Schumann came a change of focus, but the ideal remained; later the inheritance was enriched further by Chopin and Brahms. The early sources of Delius were Grieg and, to some extent, Strauss. But whereas the principal figures of the romantic movement, especially Weber and Grieg, discovered their individuality in music of a character conveniently though vaguely termed “‘national”’ for the purposes of identification, Delius makes no such demands. It is true that some of his music is essentially English in character; for example, his development of the pastoral rhapsody is
2-12-delius	doc_0_2_1	unmistakable in Brigg Fair and some of the smaller idylls. But part of the greatness of Delius is due to the fact that his breadth of conception ignores the limitations of — country or continent. His work is often cosmopolitan. The poetry of his ideas owes little or nothing to academic associations. It may be questioned whether or no this outlook becomes a handicap. To a man musically of small stature it might be so; to Delius the lack of pedagogic restraint spells liberty and not licence.
2-12-delius	doc_0_3_0	The question of immediate derivation, although significant in any consideration of a minor composer, need not concern us too closely in an estimation of the mature work of one whose individuality is so definitely determined. ‘The bulk of Delius’s music is marked by characteristics for which he alone could be responsible. This isolation is in itself evidence of the personal nature of his art. At atime when music, like painting, is suffering from a host of mediocrities, an independent figure must possess a peculiar importance. The best achievements of Delius show clearly that he is unmoved by the fashions of to-day. Perhaps the only other English composer in respect of whom this can be said with certainty is Elgar. This attitude is one of the tests of greatness.
2-12-delius	doc_0_4_0	One must admit, however, that this development of independence, although definite in character, did not come to Delius in his earliest years. Beethoven provides a similar example. The connection with romance is to be found principally through the music of Grieg, in which Delius’s finest characteristic, his art of contemplative writing, had its beginning. But the debt cannot be reckoned as considerable; its importance lies in the fact that it illustrates the link between Delius and the pioneers of the romantic movement. Nevertheless, Delius developed and expanded his art far beyond anything that Grieg could have conceived, and in consequence one cannot insist with reason upon a very close association of ideas.
2-12-delius	doc_0_5_0	If there is to be any clear grasp of Delius’s music in its entirety, the question of texture cannot remain wholly unconsidered. In a former essay we attempted briefly to trace the transposition from the horizontal writing, which is found at its best in the works of Bach, to the more vertical means of expression according to which the major utterances of Beethoven are fashioned. It was the endeavour to illustrate that in our own time vertical writing has gained an ascendancy which is almost complete. In this respect the methods of the twentieth century form a remarkable antithesis to those of the seventeenth. But if Delius in this respect is in accord with his contemporaries it is not owing to an ill-calculated imitation. Should his purpose require it, he can write counterpoint which is both scholarly and musical. It happens, however, that the medium in which the essential poetry of his art finds the most satisfactory expression is not the medium of horizontal writing. To the historian the important point is that Delius’s method is not the outcome of an incapacity to think contrapuntally, though an equally decisive pronouncement would not be justified in the case of some of his contemporaries.
2-12-delius	doc_0_6_0	It is this distinction which encourages the critic to claim for Delius a position elevated above those whose intent is less thoughtful. Like many another genius, he can afford to disregard artistic conventions if it suits him to do so. There can be no denial that his system is attended with danger when pursued by those of lesser ability. It is a remarkable tribute to his capacity for organised expression that his failures are few. Debussy has been equally fortunate. But as models for. their successors the method of neither composer is to be commended, Both have had their imitators, and their disaster is itself a warning and an example to posterity.
2-12-delius	doc_0_7_0	The intensely chromatic character of Delius’s music furnishes another point of interest. Part of this inheritance comes from Grieg, but it may also be traced to Strauss, who in turn had it from Wagner. Admittedly there are works of Bach whose nature is as chromatic as anything which Wagner ever achieved. But with Bach chromaticism is not the rule, and its occurrence is marked by a means of expression entirely different from that employed by the later romantic school. If Delius. sometimes approaches the boundaries of tonality he never places himself irrevocably beyond them. In this respect he marks a development widely divergent from Schénberg. Delius is too clearly a poet to be able to accept dissonance with equanimity, even though in his own works he should admit it when the context is suitable. The reflective nature of his writings emphasises those subjective tendencies which no external stimulus is able entirely to subdue. And since it is in the contemplative music of Delius that the true essentials of his art are to be found, our present concern is with an examination of those works which may be said fairly to represent this aspect of the composer’s creative genius.
